query,dbx,spy,rep,ivm,prscala,prcpp,scala,cpp
Q1,17.74,29.46,6.41,11.16,40481.05,17766.32,203183.96,639466.80
Q2,10.74,1.01,0.75,60.33,15533.11,17743.77,190245.24,1092895.25
Q3,18.22,22.55,3.58,14.03,47878.65,22065.65,252867.93,2316431.18
Q4,32.3,252.04,8.42,7678.18,48451.74,26640.23,285413.06,3080646.78
Q5,9.67,19.05,1.1,4.14,934.62,32.5,10285.06,3911.36
Q6,44.24,361.97,28.29,26910.07,45197.81,0.02,292694.60,6103389.89
Q7,3.84,14.1,0.17,10.17,1714.78,3.11,48391.02,65735.34
Q8,34.83,23.88,0.23,0.25,5990.67,25.51,85850.09,225414.81
Q9,6.75,23.74,0.07,0.8,3497.9,5867.49,59115.03,72325.08
Q10,4.6,38.23,1.34,4.92,48364.73,20520.93,263716.93,2250119.95
Q11,3.74,12.32,0.23,0.12,48079.04,1.23,5268.75,11059.96
Q12,24.71,74.47,2.06,7576.58,47028.36,23801.9,261958.66,2924223.15
Q13,9.64,10.9,0.12,0.1,27.12,4.18,1105.56,2408.21
Q14,39.6,464.88,0.99,1.01,45054.04,24396.6,262743.66,4174205.74
Q15,2.49,6.14,0.12,0.08,17.64,6.08,44.71,76.80
Q16,2.94,8.82,2.01,2,220.96,5.28,529.64,489.88
Q17,11.77,19.64,3.4,1373.52,43553.37,23993.45,173687.57,850980.69
Q18,1.2,11.16,2.45,2.95,27.49,40.73,212548.32,1010914.80
Q19,23.84,0.57,0.06,187.78,338.94,68.4,1669.43,2864.97
Q20,7.16,33.63,13.91,502.33,28596.03,2003.73,192265.18,678672.77
Q21,8.72,14.72,1.65,8.5,25470.22,6573.43,205210.87,656460.94
Q22,36.05,58.22,0.39,0.47,3379.37,196.89,27215.12,78018.93
